name,description
Abacavir,"Abacavir is an antiretroviral medication used to treat HIV infection, functioning as a nucleoside reverse transcriptase inhibitor (NRTI)."
Abatacept,"Abatacept is a biologic medication that modulates the immune system, used primarily in the treatment of rheumatoid arthritis and other autoimmune conditions."
Abciximab,Abciximab is a glycoprotein IIb/IIIa inhibitor used as an antiplatelet agent to prevent blood clots during certain heart procedures.
Abemaciclib,Abemaciclib is a selective cyclin-dependent kinase 4 and 6 (CDK4/6) inhibitor used in the treatment of hormone receptor-positive breast cancer.
Abiraterone Acetate,Abiraterone acetate is an androgen biosynthesis inhibitor used in the treatment of metastatic castration-resistant prostate cancer.
Acalabrutinib,"Acalabrutinib is a selective Bruton tyrosine kinase (BTK) inhibitor used in the treatment of certain types of blood cancers, including chronic lymphocytic leukemia (CLL)."
Acamprosate,Acamprosate is a medication used to help maintain abstinence in individuals recovering from alcohol dependence by stabilizing chemical signaling in the brain.
Acarbose,"Acarbose is an alpha-glucosidase inhibitor that slows carbohydrate absorption in the intestines, used to manage postprandial blood glucose levels in type 2 diabetes."
Acebrophylline,Acebrophylline is a mucolytic agent that helps to reduce mucus viscosity and improve respiratory function in conditions like chronic obstructive pulmonary disease (COPD).
Aceclofenac,Aceclofenac is a non-steroidal anti-inflammatory drug (NSAID) used to relieve pain and inflammation in conditions such as arthritis.
Acenocoumarol,Acenocoumarol is an anticoagulant medication used to prevent blood clots by inhibiting vitamin K-dependent clotting factors.
Acetazolamide,"Acetazolamide is a carbonic anhydrase inhibitor used primarily to treat glaucoma, altitude sickness, and certain types of seizures."
Acetic acid,"Acetic acid is a colorless liquid organic compound used in various applications, including as a solvent and in the production of vinegar."
Acetylcysteine,Acetylcysteine is a mucolytic agent and antioxidant used to treat acetaminophen overdose and to loosen mucus in respiratory conditions.
Acitretin,Acitretin is a retinoid medication used to treat severe psoriasis and other skin disorders by regulating skin cell growth.
Acotiamide,Acotiamide is a drug used to treat functional dyspepsia by modulating gastric motility.
